,Brand,Color,Age Range (Description),Special Feature,Weight Limit,Number of Wheels,Model Name,Wheel Material,Frame Material,Item Weight,Handlebar Type,Handle Height,Wheel Size,Wheel Type,Suspension Type,Grip Type,Brake Style,Warranty Type,Charging Time,Product Dimensions,null,Item Package Dimensions L x W x H,Package Weight,Brand Name,Warranty Description,Material,Suggested Users,Manufacturer,Part Number,Style,Included Components,Size,Sport Type,Price,Product Name,Product Rating,Recommended Uses For Product,Package Dimensions,Country of Origin,ASIN,Item model number,Batteries,Best Sellers Rank,Customer Reviews,Department,Number of Items,Item Dimensions LxWxH,Model Year,Team Name,Hand Orientation,Grip Size,Batteries required,Import,Skill Level,Deck Length,Deck Width,Load Capacity,Rotation Direction,Number Of Items,Bike Type,Manufacturer recommended age,Vehicle Service Type,Pattern,Mounting Type,Strap Type,Capacity,Closure Type,Handle Type,Shell Type,Power Source,Resistance Mechanism,Maximum Weight Recommendation,Maximum Height,Minimum Height,Number of Resistance Levels,Number of Pieces,Exterior Finish,Handle Material,Unit Count,Theme,Is Discontinued By Manufacturer,Release date,Maximum height recommendation,Material Type,Additional product features
182,SMOOSAT,Black with 8.5'' Tires-SA3,Adult,Foldable,220 Pounds,2,SA3,Rubber,,,Adjustable,,,Solid,,,,,6 Hours,,20 Miles,43 x 20.3 x 7 inches,17.24 Kilograms,SMOOSAT,,,,Shenzhen Ruiyundi Tech. Co. Ltd.,,SA3 Black,,8.5'' Wheel-Black SA3,,399,"SmooSat SA3(Prime) Electric Scooter for Adults, 20/28 Miles Long Range, 350W Brushless Motor, 8.5/10” Solid Tire, 15.6/20 MPH Max Speed, App Control &Type-C Reverse Charging(Prime Only), LED-Display",4.0,,,,,,,,,,,44.09 x 42.13 x 20.08 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,ALLMOVE,Black,Kid,"Lightweight, Adjustable Handlebar Height, Foldable, Rechargeable",165 Pounds,2,X1 Pro,Solid,Aluminum,19.5 Pounds,Adjustable,,5.5 Inches,Solid,Dual Suspension,,Double Brakes (e-brake and rear foot brake),Limited,4 Hours,"34.2""L x 6""W x 40.7""H",8 Miles,31.9 x 13.2 x 6.6 inches,9.25 Kilograms,ALLMOVE,We provide a 1-year warranty and free lifetime customer service. Any question such as installation or ride please feel free to contact us. Email: info@allmove.store,Aluminum,unisex-teen,"SHENZHEN SHINDOM TECHNOLOGY CO.,LTD",,Electric Scooter Kids,X1 Electric Scooter*1 Warranty card*1 User manual*1 Handlebar*2 Charger*1,,,199,"ALLMOVE Electric Scooter for Kids Ages 6-16, 11 Mph & 8 Miles, 150W Motor, LCD Display, Double Braking and Cruise Mode, Foldable Kids Electric Scooter with Adjustable Speeds & Heights",4.1,,,,,,,,,,1,,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,YADEA,Green,Adult,Folding,220 Pounds,2,KS3 Lite,caoutchouc,Aluminum,,,,6 Inches,Pneumatic,Front Suspension,,Front Braking,,,"22""L x 4""W x 44""H",,44 x 22.25 x 7 inches,17.76 Kilograms,YADEA,1 year,Iron,Adult,YADEA,KS3 Lite,KS3 Lite Green,KS3 Lite scooter,,,428,"Yadea Electric Kick Scooter KS Adults Electric Scooter-KS6 500W Motor(Ver.KS3 300W),34 Miles Long Range(Ver.KS3 12 Miles)& 15.6MPH(Ver.KS3 18.6MPH),with Self-Healing Tubeless/Hollow Honeycomb Tires",4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,isinwheel,blue,Toddler,Adjustable Handlebar Height,110 Pounds,3,,Rubber,,8 Pounds,Adjustable,33.8 Inches,,Solid,,,Rear Braking,,,,,26.25 x 11 x 7.75 inches,5.56 Kilograms,isinwheel,,,,"Dongguan Hao ermei Children's Products Co., Ltd.",,,,,,129,"isinwheel Mini Electric Scooter for Kids Ages 3-12, 3-Wheel Electric Scooter for Toddler Boys/Girls, Electric Kick Scooter for Kids with Long Battery Life, Flashing LED Wheels, 3 Adjustable Height",3.8,,,,,,,,,,,26 x 12 x 33 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,AVPLUS,Dark Black,,"Adjustable Handlebar Height, Foldable",220 Pounds,2,S50,Rubber,,31 Pounds,,,10 Inches,Solid,,,Front eABS +Rear Disc braking,,,,,42 x 20 x 5.9 inches,32 Pounds,AVPLUS,"30 days unconditional return, refund and exchange, 180days limited exchange, return.",Aluminum,unisex-adult,"Shenzhen Grandpower New Energy Development Co.,Ltd",S50,,Electric scooter,,,189,"Electric Scooter for Adults Teens,450W Electric Scooter Up to 19MPH & 18.5Miles Range Sport Foldable Scooter Double Braking Electric Scooters for Commuter,8.5"" Tires Electric Scooter for Adults",4.9,,,,,,,,,,,5 x 40 x 20 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,Hiboy,Black,Adult,Replaceable Battery,220 Pounds,2,,Rubber,Aluminum,14.4 Kilograms,,,9 Inches,Pneumatic,Dual Suspension,,,,6 Hours,,,46.5 x 21.5 x 7 inches,17.42 Kilograms,Hiboy,,Aluminum,unisex-adult,Freeman IT Limited,S2R Plus,S2R Plus,,,,699,"Hiboy S2R Plus Electric Scooter, Upgraded Detachable Battery, 9"" Pneumatic Tires, 350W Motor - Max 22 Miles & 19 MPH Portable Folding Commuter E-Scooter for Adults - Dual Brakes with Split Wheels",4.5,,,,,,,,,,,44.09 x 16.95 x 49.21 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Doulve,black,,"Portable, Lights, Foldable",265 Pounds,2,WT10,Rubber,,52.2 Pounds,,,9 Inches,Solid,Front Suspension,,Rear Braking,,,,,,,Doulve,1 year warranty,Alloy Steel,unisex-adult,doulve,,,battery,,,679,"Electric Scooter Adults,Doulve Ship from US,800W Motor, Updated 9"" Solid Fat Tire, 25MPH 40Miles Long Range Folding E Scooter, 48V 15 AH Battery Electric Scooter for Outdoor Travel Commute",Total price:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,CUNFON,"Black, Red",Adult,"Anti-Puncture Tire, Digital Display, Dual Braking System, Adjustable Handlebar Height, Foldable",264 Pounds,2,LS500,Rubber,Aluminum,48 Pounds,Adjustable,,8.5 Inches,Solid,Dual Suspension,,"Electric Braking, Front Braking, Rear Braking",Limited,5 Hours,"43.7""L x 20.3""W x 47""H",32 Mils,44.88 x 19.69 x 9.8 inches,25 Kilograms,CUNFON,1 year manufacturer,Aluminum Alloy + ABS + PC,Unisex-adult,"Zhuhai ChunFeng Electric Technology Co., Ltd",,,"User Manual, 1X Charger, Accessory Pack",,,549,"CUNFON Electric Scooter Adults - 30 Miles Range 25 mph Speed, 500W Rear Motor, Wide Wheel Solid Tires with Full Suspension, Foldable Commuter E Scooter with APP for Adults Teenagers",Total price:,"Outdoor, Commuting",,,,,,,,,,,,Nb_a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,MotoTec,Black,Adult,Foldable,265 Pounds,2,UberScoot 1600w 48v Electric Scooter,Rubber,,117 Pounds,,43 Inches,11 Inches,Pneumatic,,,Front and Rear Disc,,8 Hours,"49""L x 25""W x 43""H",12 Miles,49 x 19 x 13 inches,55.34 Kilograms,MotoTec,30 Day Warranty Against Manufacturer Defects,Alloy Steel,Unisex-adult,Digital Complex Inc,Evo-1600,,Charger,Large,,856,"UberScoot 1600w 48v Electric Scooter, Black, Large",& FREE Shipping,,,,,,,,,,1,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,tifgalop,T88PLUS(100KM),Adult,"Seat, Adjustable Handlebar Height, Wide Platform, Foldable",300 Kilograms,2,,Rubber,Alloy Steel,47 Kilograms,Adjustable,,11 Inches,Pneumatic,Dual Suspension,Ergonomic,"Front Braking, Rear Braking",,8 Hours,"47.24""L x 24.41""W x 52.36""H",60 Miles,51.5 x 21.25 x 13.5 inches,50.8 Kilograms,tifgalop,,Alloy Steel,mens,"Dongguan luxiangte Vehicle Industry Co., Ltd.",,,,,,"1,595",TIFGAOP Electric Scooter High Power Dual Drive 5600W Motor Up to 50 MPH and 60 Miles Range 11 Inch Tubeless Off Road Tires Electric Scooter for Adults with Detachable Seat,4.2,,,,,,,,,,,,,TIFGALOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,MotoTec,Black,Adult,Foldable,265 Pounds,2,UberScoot 1600w 48v Electric Scooter,Rubber,,117 Pounds,,43 Inches,11 Inches,Pneumatic,,,Front and Rear Disc,,8 Hours,"49""L x 25""W x 43""H",12 Miles,49 x 19 x 13 inches,55.34 Kilograms,MotoTec,30 Day Warranty Against Manufacturer Defects,Alloy Steel,Unisex-adult,Digital Complex Inc,Evo-1600,,Charger,Large,,856,"UberScoot 1600w 48v Electric Scooter, Black, Large",& FREE Shipping,,,,,,,,,,1,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,tifgalop,T88PLUS(100KM),Adult,"Seat, Adjustable Handlebar Height, Wide Platform, Foldable",300 Kilograms,2,,Rubber,Alloy Steel,47 Kilograms,Adjustable,,11 Inches,Pneumatic,Dual Suspension,Ergonomic,"Front Braking, Rear Braking",,8 Hours,"47.24""L x 24.41""W x 52.36""H",60 Miles,51.5 x 21.25 x 13.5 inches,50.8 Kilograms,tifgalop,,Alloy Steel,mens,"Dongguan luxiangte Vehicle Industry Co., Ltd.",,,,,,"1,595",TIFGAOP Electric Scooter High Power Dual Drive 5600W Motor Up to 50 MPH and 60 Miles Range 11 Inch Tubeless Off Road Tires Electric Scooter for Adults with Detachable Seat,4.2,,,,,,,,,,,,,TIFGALOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,ScootHop,Pink,,"Digital Display, Bluetooth Speaker, Dual Braking System, Lightweight, Adjustable Handlebar Height, Non Slip Deck, Rechargeable",150 Pounds,2,K6,Rubber,Aluminum,14 Pounds,"Detachable, Safe and odorless, Comfortable, Reliable, Adjustable",,6 Inches,Solid,No,Ergonomic,Electronic Brake/Rear Brake,,,,8 Miles,32.5 x 13.8 x 6.8 inches,8.55 Kilograms,ScootHop,1 year,Aluminum,"Kids Electric scooter,Unisex-teens, Kids Scooter",Scoothop,,2023 Upgrade Electric Scooter for Kids,"Kids electric scooter,manual,charger,tool",,,199,"Scoothop Kids Electric Scooter,Colorful Rainbow Lights Electric Scooter with Bluetooth Music Speaker, LED Display,4 Height Adjustable and 3 Speed Adjustment,Lightweight Electric Scooter for Kids Ages 6-12",4.3,,,,,,,,,,,32 x 6 x 40 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,TopMate,Gray,Adult,Foldable,220.5 Pounds,3,ES32,Rubber,,35 Pounds,Adjustable,33.74 Inches,10 Inches,Pneumatic,Rear Suspension,,,,4 Hours,"39""L x 19.8""W x 36.3""H",15 Miles,36.9 x 23.1 x 19.3 inches,21.68 Kilograms,TopMate,1 Year,Aluminum,unisex-adult,TopMate,ES32-US,Modern,,,,699,"TopMate ES32 Electric Scooter 3 Wheels Foldable Trike with Seat for Adults, Light Weight Mobility Scooter with Reverse Function and Key Switch, 10 Inch Pneumatic Tires Tricycle for Commute and Travel",3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,ALLMOVE,Gray,Adult,"Digital Display, Dual Braking System, Cruise Control, Wide Platform, Foldable",330 Pounds,2,X10 Pro,Aluminum,Aluminum,46.95 Pounds,Adjustable,46 Inches,10 Inches,Solid,Dual Suspension,,Triple Brake Systems,Limited,6 Hours,"46.6""L x 20""W x 46""H",28 Miles,45.8 x 21.8 x 8.1 inches,25.29 Kilograms,ALLMOVE,We provide a 1-year warranty and free lifetime customer service. Any question such as installation or ride please feel free to contact us and provide us with photo or video proof. Email: support@allmove.store,Aluminum,unisex-adult,"SHENZHEN SHINDOM TECHNOLOGY CO.,LTD",X10Pro,ALLMOVE Electric Scooter for Adults,,,,559,"ALLMOVE Electric Scooter for Adults with 500W Motor, 20 MPH &28 Miles, 10"" Solid Tire, Folding Adults Electric Scooter with LED Display,Triple Brake,Cruise Control, APP, Dual Shock and 4 Speed Models",4.6,,,,,,,,,,1,,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,HYKAS,48V/16AH,Adult,"SMART-Do Intelligent Control, Powerful Motor, Adjustable Handlebar/Seat Height, Foldable, Detachable Seat",330 Pounds,2,iE-M4 PRO S+ 16Ah Battery,Alloy Steel,"Alloy Steel, Stain Stell",56 Pounds,Adjustable,,10 Inches,Pneumatic,Dual Suspension,Ergonomic,Front & Rear Dual Braking,,,,25 Miles,48 x 20.5 x 10 inches,28.12 Kilograms,HYKAS,1 year manufacturer,"Alloy Steel,Stain Steel",,"Shenzhen Tianshengle Robot Co., Ltd.",,Sports,"e scooter, charger, seat, pedal handle, install tools, user manual",,,649,"iENYRID 800W Electric Scooter with Detachable Seat for Adult, 48V 16Ah Battery, 28Mph Max Speed 31Miles Max Range, Dual Suspension & Dual Braking System,10'' Off-Road Tire, Foldable Commuter E Scooter",3.7,,,,,,,,,,1,45.3 x 23.6 x 47.3 inches,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,OKAI,White,Adult,"Dual Braking System, Cruise Control, Wide Platform, Lockable, Foldable",220 Pounds,2,Neon Series,Rubber,Aluminum,35.2 Pounds,Fixed,38 Inches,9 Inches,Neon Lite: Tubeless Neon: Solid + Pneumatic,Rear Suspension,Contoured,Front：electric brake Rear：disc brake,Limited,5.5 Hours,"45""L x 17.7""W x 44.5""H",25 Miles,46.75 x 18 x 8.25 inches,21.27 Kilograms,OKAI,1 Year Limited Warranty,Aluminum,unisex-adult,"Zhejiang Okai Vehicle Co., Ltd.",ES20,Neon,Electric scooter,,,399,"OKAI Electric Scooter - ES20/ES520 Models, 600W Peak Power Motor, 25-28 Miles Long Range Battery & 15.5 MPH, Commuter E-Scooter for Adults & Teens, Durability, Wide Platform",4.0,Commuting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,isinwheel,BLUE,Kid,Light Up Wheels,110 Pounds,3,M3,Rubber,,8.15 Pounds,Adjustable,33.8 Inches,4.5 Inches,Pneumatic,,,Rear Braking,,5 Hours,"25""L x 11""W x 33""H",15 Miles,26 x 11.5 x 8 inches,5.53 Kilograms,isinwheel,One-year or 180-day warranty for different parts. iSinwheel will keep improving our products and are committed to giving our customers the best service,Aluminum,girls,"Dongguan Hao ermei Children's Products Co., Ltd.",CL#MINI-PL03,,"scooter,Handlebar，LED Light-up Wheels",,,169,"isinwheel Mini Pro Electric Scooter for Kids Ages 3-12, 3-Wheel Electric Scooter for Boys/Girls, Electric Kick Scooter for Kids with Long Battery Life, Flashing LED Wheels, 3 Adjustable Height",4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,EFGTEK,5600W Motor,,Wide Platform,149.99 Kilograms,2,ES06,Aluminum,Aluminum,27.99 Kilograms,,,11 Inches,Pneumatic,Dual Suspension,,"Dual Brakes,Electronic Controller",Limited,,"52.8""L x 10""W x 52.4""H",,,33 Kilograms,EFGTEK,"Ship from California,Delivery Time is about 3 Days to 7 Days.Detailed support contact EFGTEK USA SERVICE TEAM.180 Days free change for Motor Motor hub Controllers Chargers Lithium ion battery Frame Handlebar LED front lights Throttle Scooter stem Forks LCD display",Aluminum,unisex-adult,EFGTEK,ES06,All-season,,,Skating,"1,399","Off Road Electric Scooter for Adults,EFGTEK 33 Mph to 52 Mph 2800W Single Motor/5600W Dual Motor Sports 11 Inch Vacuum Tires 60V 15Ah/28Ah Foldable E-Scooter with Despatchable Seat",Total price:,,,,,,,,,,1,,2023,EFGTEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,Razor,Black,,Lights,100 Pounds,2,,Polyurethane,Alloy Steel,11.5 Kilograms,,,,,,,,,,,,36.5 x 17.32 x 5.91 inches,13.5 Kilograms,Razor,,,,Razor USA LLC,13112110,,,,,189,"Razor Sonic Glow Black Electric Scooter with LED Lights and Bluetooth Wireless Speaker, (13112110)",& FREE Shipping,,,,,,,,,,,32.28 x 13.98 x 34.92 inches,,Glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,Riding'times,Black,Adult,"Dual Disc Brakes & EABS, 11"" Self-healing Tubeless Tires, 20AH Removable Battery, Dual 1200W Brushless Motor, 4-Level Full Suspension",330 Pounds,2,G63,Rubber,,44 Kilograms,Adjustable,,11 Inches,Pneumatic,"Dual,dual suspension",,"EABS System, Dual Disc Brake",,,,,58 x 19 x 10 inches,44 Kilograms,Riding'times,1 year manufacturer,Carbon Steel,Unisex-adult,"Shenzhen Riding Robot Tech Co., Ltd.",G63,"2400W,20AH",Electric scooter,,,"1,299","Riding'times 2400W Electric Scooter with 20AH Removable Battery, Up to 37Mph & 60Miles Long Range, 11"" Tubeless Tire, Off Road Dual Motor Commuter E Scooter with APP",& FREE Shipping,,,,,,,,,,,58.27 x 9.84 x 19.29 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,MENGYY,Red,Adult,"Basket, Foldable",,,Adult Tricycle Folding,,"Carbon Steel, Alloy Steel",73 Pounds,,,20 Inches,,"Rear, Front",,Linear Pull,,,,,37 x 27 x 17 inches,73 Pounds,MENGYY,One year warranty,"Stainless steel pipe, Plastic",Unisex-adult,MENGYY,MENGYY,,Basket,Large,,550,MENGYY Adult Tricycle Folding for Seniors Comfortable seat 3 Wheel Bicycle with Shopping Basket Double Chain 20 Inch Shock Absorber Front Fork Parents and Children Maximum Load 200kg (red) 27*27*17,& FREE Shipping,,,,,,,,,,,68.8 x 27 x 37 inches,,,,,,,,,,,,,Folding Bike,,,,,,,,,,,,440.92 Pounds,,,,,,,,Bike,,,,,
204,Hover-1,Black,Teen; Adult,"Lights, Foldable",264 Pounds,2,Alpha Pro,Stainless Steel,,35 Pounds,Adjustable,,10 Inches,,,Contoured,Rear Braking,90 days,5 Hours,"44""L x 9""W x 49""H",18 Miles,46.3 x 24.8 x 9.4 inches,22.66 Kilograms,Hover-1,90 days,"Aluminum, Plastic",Unisex-adult,DGL Group,H1-ALPHA-PRO-BLK,Alpha Pro,"User Manual, Hover-1 Alpha Pro Folding Scooter, Charger",Black,,346,"Hover-1 Alpha Pro Electric Kick Scooter | 18MPH, 18 Mile Range, 5HR Charge, LCD Display, 10 Inch High-Grip Tires, 264LB Max Weight, Certified & Tested - Safe for Teens & Adults, Black",1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Eskuta,Matte Black,Adult,Portable,,2,KS 350,Rubber,Aluminum,1.5 Kilograms,Adjustable,,,Solid,"Rear Suspension, Front Suspension",,Disc,Limited,3 Hours,,,45.5 x 19.8 x 7.75 inches,14.95 Kilograms,Eskuta,,Aluminum,,Eskuta,,,Tool Kit,,,299,"Eskuta KS-350 Long-Range Electric Powerful Kick Scooter, Ultra-Portable, Lightweight with Removable Quick Charging Battery, Triple Brakes & LED Digital Technology",3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,Razor,Black,Adult,Wide Platform,220 Pounds,2,Ecosmart,Rubber,Alloy Steel,62.7 Pounds,Adjustable,43.5 Inches,16 Inches,Pneumatic,,,Rear Braking,,60 minutes,"25.2""L x 12.99""W x 51.97""H",12 Miles,50 x 24 x 12 inches,35.83 Kilograms,Razor,90 day Limited Manufacturer,Alloy Steel,unisex-adult,"Razor USA, LLC",13114510,Sup Stand-up,"Ecosmart Scooter, Charger, Manual",One Size,Outdoor Lifestyle,479,"EcoSmart SUP Electric Scooter – 16"" Air-Filled Tires, Wide Bamboo Deck, 350w High-Torque Hub-Driven Motor, Up to 15.5 mph & 15.5 Miles Range, Rear-Wheel Drive",4.3,,,,,,,,,,1,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,ROXAAN,Black-Gray,Adult,"Anti-Puncture Tire, Digital Display, Dual Braking System, Foldable, Rechargeable",220 Pounds,2,T1,Rubber,Alloy Steel,26 Pounds,Fixed,41.3 Inches,8.5 Inches,Solid,Rear Suspension,,Rear Braking,Limited,5 Hours,,25 Miles,42.92 x 21.06 x 5.91 inches,33.51 Pounds,ROXAAN,3 Months Warranty,Alloy Steel,unisex-adult,"DONGGUAN YUSHUI TECH CO., LTD",,,"User Manual, Screws, Hex Wrench, Charger",,,283,"Adults Electric Scooter Max Load 220LB, 350W Motor Folding Commuting Scooter - 8.5"" Solid Tires, 20 Miles Range, 15.5MPH, Portable Powered Kick E-Scooter with Double Braking System and App Control",3.8,,,,,,,,,,1,41.3 x 17 x 41.3 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,Segway,White,Adult,"Portable, Lightweight, Foldable",220 Pounds,2,Air T15,Aluminum,Aluminum,23.2 Pounds,Foldable,40 Inches,,Rubber tires,tire Suspension,Ergonomic,Fender Brake,Limited,4 Hours,"36.9""L x 15.7""W x 40""H",7.5 Miles,42.75 x 14.9 x 9.3 inches,14.31 Kilograms,Segway,1-year limited warranty,Aluminum,unisex-adult,Segway-Ninebot,Air T15,,"scooter, charger, accessory box",Large,,299,"Segway Ninebot Air T15 Electric Kick Scooter, Lightweight and Portable, Innovative Step-Control, White",& FREE Shipping,,,,,,,,,,1,,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Blutron,Black,Adult,"Lightweight, Foldable",265 Pounds,2,S65,Rubber,Aluminum,38.8 Pounds,Fixed,39.4 Inches,10 Inches,Pneumatic,Dual Suspension,,Rear Braking,,6.5 Hours,,40 Miles,49.9 x 21.5 x 8.9 inches,21.57 Kilograms,Blutron,"One-year or 180-day warranty for different parts, please refer to warranty information in product details below or the user manual.",Aluminum,Unisex-adult,Blutron,S65,All-season,,,,599,"Blutron One Plus S65 Electric Scooter for Adults, 800W Peak Power Motor, 40 Miles Ultra Long Range & 20 MPH, Folding Commuter E Scooter, Dual Brakes & Suspension, 10"" Pneumatic Tires",3.3,,,,,,,,,,,45.47 x 20.08 x 46.85 inches,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,EFGTEK,2800 Watt Single Motor,,"foldable, LCD-Display",150 Kilograms,2,ES07,Rubber,Aluminum,28 Kilograms,,,11 Inches,Proto Gripper Wheels,Dual Suspension,,,Limited,,"52.8""L x 52.3""W x 10""H",,,33 Kilograms,EFGTEK,"Ship from California,Delivery time is about 3 days to 5 days.Detailed support contact EFGTEK USA TEAM.This regulation applies to: Motor,Motor hub ,Controllers,Chargers,Lithium ion battery, Frame,Handlebar,LED front lights,Throttle ,Scooter stem,Forks,LCD display ,6 months and it can be changed for free.",Alloy Steel,unisex-adult,EFGTEK,ES07,All-season,,,Cycling,"1,099","Off Road Electric Scooter for Adults,EFGTEK 33 Mph to 50 Mph 2800W Single Motor/5600W Dual Motor Sports Heavy Duty 11 Inch Vacuum tire 60V 15Ah/28Ah Foldable E Scooter with Despatchable Seat",3.7,,,,,,,,,,1,,2023,EFGTEK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,eHoodax,Black,Adult,"Seat, Lights",440 Pounds,2,eHoodax-EB04,Rubber,Alloy Steel,,Adjustable,,18 Inches,Pneumatic,shock suspension,,"Front Braking, Rear Braking",,6 Hours,,,,,eHoodax,"1 year frame, 6 months battery",Iron,unisex-adult,eHoodax,,20AH,"rear light, alarm anti-theft device US charger, Front light, mirrors, 2 people seat available",,,"1,599","eHoodax 3000w Fat tire Electric Scooter with 2 Seats, Adults Citycoco Scooters Up to 32 Mph & 60V 20Ah Lithium Removable Battery with Alarm Anti-Theft Device US Charger",& FREE Shipping,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Hover-1,Black,Adult,"Non Slip Deck, Lights, Foldable",265 Pounds,2,H1-BSS,Rubber,,26.54 Kilograms,Adjustable,,10 Inches,Honeycomb,Dual Suspension,,"Front Braking, Rear Braking",Limited,6 Hours,,24 Miles,47.4 x 22.6 x 8.8 inches,26.54 Kilograms,Hover-1,1 Year Warranty,Aluminum,unisex-adult,DGL Group,H1-BSS-BLK,Modern,"Hover-1 Boss Electric Scooter, Manual, Charger",Medium,,799,"Hover-1 Pro Series Boss Foldable Electric Scooter with 500W Brushless Motor, 20 mph Max Speed, 10” Honeycomb Tires and 24 Mile Range",4.6,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,EVERCROSS,black,Youth,"Lights, Foldable",265 Pounds,2,EV08E,Rubber,Aluminum,26 Pounds,Adjustable,,8 Inches,Solid,Front Suspension,Adjustable,Front Braking,Extended,5 Hours,"41""L x 13.3""W x 42.5""H",20 Miles,39.06 x 15.67 x 7.5 inches,14.54 Kilograms,EVERCROSS,,Aluminum,Unisex-adult,"ZHEJIANG KUANTU INDUSTRY AND TRADE CO.,LTD",EV08E,EV08E,,,Electric Scooter,239,"EVERCROSS EV08E , Electric Scooter with 8"" Solid Tires & 350W Motor, Up to 19 Mph & 20 Miles Long-Range, 3 Speed Modes, Folding Electric Scooters for Adults Teenagers","Powerful portable electric scooter for beginners, especially teens - Delivers for the price!",,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,Razor,Red/Black (Electric Power),Youth,Foldable,143 Pounds,2,Power A2 Electric Scooter,Polyurethane,,14.21 Pounds,Adjustable,,,Solid,,,Rear Braking,,40 minutes,"31.38""L x 14.41""W x 37.99""H",,31.25 x 12.5 x 6.5 inches,7.96 Kilograms,Razor,90 Days,"Aluminum, Plastic",Unisex-teen,"Razor USA, LLC",13110082,A2 Electric,Power A2 Electric Scooter,FFP,Outdoor Lifestyle,179,"Razor Power A2 Electric Scooter – High-torque Hub Motor, Up to 10 MPH, Foldable and Lightweight, Electric Scooter for Kids and Teen",4.4,,,,,,,,,,1,,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,Hover-1,Blue,Kid,"Lightweight, Foldable",80 Pounds,3,H1-MFSC,,,11 Pounds,Adjustable,,4.5 Inches,Solid,,,Rear Braking,Limited,,,,27.2 x 13.7 x 10 inches,6.12 Kilograms,Hover-1,90 Day Warranty,Plastic,Unisex-teen,DGL Group,H1-MFSC-BLU,,"Manual, Charger, My First Scooter",,,114,"Hover-1 My First Scooter | (5+ Years Old) 5MPH Top Speed, 1.8 Mile Range, 80W Motor, 80lbs Max Weight, Foot Brake, Ideal Training Scooter for Children",3.3,,,,,,,,,,,23 x 11.75 x 33 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
